entrez_id,uniprot_id
90639,F8WEL9_HUMAN
90639,COX19_HUMAN
10998,S27A5_HUMAN
10998,M0R075_HUMAN
10999,S27A4_HUMAN
10999,A0A024R8D2_HUMAN
90634,Q8WTU5_HUMAN
90634,N42L1_HUMAN
90634,Q9Y273_HUMAN
90634,U3KQ14_HUMAN
90634,H0Y2Y5_HUMAN
90634,A0A0U1RRA5_HUMAN
90634,U3KPU5_HUMAN
90634,A0A0U1RQG8_HUMAN
90634,Q9UQP6_HUMAN
90634,A0A0U1RR05_HUMAN
90634,A0A024RDR5_HUMAN
90634,A0A024RDV1_HUMAN
23658,A0A090N8Y5_HUMAN
23658,B8ZZF8_HUMAN
23658,LSM5_HUMAN
23658,F8W8Y8_HUMAN
23659,PAG15_HUMAN
23659,H3BPT3_HUMAN
23659,B4DPU0_HUMAN
23659,H3BMU8_HUMAN
23659,H3BT70_HUMAN
23659,H3BM47_HUMAN
23659,B4DJW4_HUMAN
90637,J3KQ25_HUMAN
90637,I3L1X3_HUMAN
90637,ZFN2A_HUMAN
90637,A8MYA3_HUMAN
63922,E7EXA6_HUMAN
63922,H3BT35_HUMAN
63922,A0A0D9SF58_HUMAN
63922,H0Y7D3_HUMAN
63922,CTF18_HUMAN
63922,F8WCC1_HUMAN
63922,H3BN43_HUMAN
25797,B5MCZ9_HUMAN
25797,QPCT_HUMAN
25797,C9JS14_HUMAN
23654,H0Y6J7_HUMAN
23654,A0PK02_HUMAN
23654,Q2TBE4_HUMAN
23654,A6QRG9_HUMAN
23654,A6QRH1_HUMAN
23654,H0Y7X5_HUMAN
23654,E2PU09_HUMAN
23654,PLXB2_HUMAN
23654,A0A087WU36_HUMAN
23654,A0A087X000_HUMAN
63923,A0A087WXT0_HUMAN
63923,B3KXB6_HUMAN
63923,A0A087WXC4_HUMAN
63923,TENN_HUMAN
25798,BRI3_HUMAN
25798,I3L1V6_HUMAN
25798,F5GXW6_HUMAN
10990,A0A0G2JPM8_HUMAN
10990,A0A0G2JMR1_HUMAN
10990,A0A0G2JMX5_HUMAN
10990,A0A0G2JNF6_HUMAN
10990,A0A0G2JNR0_HUMAN
10990,LIRB5_HUMAN
10990,A0A0G2JNY7_HUMAN
10990,A0A0G2JNP3_HUMAN
63924,CIDEC_HUMAN
63924,A0A0A0MRY9_HUMAN
63924,A0A0C4DG75_HUMAN
63924,Q86XG0_HUMAN
63924,A0A024R2F7_HUMAN
10991,A0A087X175_HUMAN
10991,A0A087WWS5_HUMAN
10991,A0A087WVW8_HUMAN
10991,S38A3_HUMAN
10991,A0A087X1Q4_HUMAN
63925,ZN335_HUMAN
63925,Q8IW09_HUMAN
25796,M0R0U3_HUMAN
25796,6PGL_HUMAN
25796,M0R1L2_HUMAN
25796,A0A0K0K1K7_HUMAN
25796,M0R261_HUMAN
10992,E9PJ04_HUMAN
10992,E9PPJ0_HUMAN
10992,H0YCG1_HUMAN
10992,A0A087WZZ5_HUMAN
10992,H0YEX5_HUMAN
10992,E9PIL8_HUMAN
10992,SF3B2_HUMAN
10992,E9PJT3_HUMAN
23657,H0Y9F9_HUMAN
23657,Q4W5A5_HUMAN
23657,XCT_HUMAN
10993,F8VXS0_HUMAN
10993,SDHL_HUMAN
10993,F8VW93_HUMAN
10993,Q8WW81_HUMAN
23650,E9PPX1_HUMAN
23650,E9PIQ2_HUMAN
23650,A0A024R3J1_HUMAN
23650,H0YD78_HUMAN
23650,TRI29_HUMAN
23650,E9PJ94_HUMAN
23650,E9PLI4_HUMAN
23650,E9PM74_HUMAN
23650,E9PI31_HUMAN
23650,B7Z8U9_HUMAN
23650,Q0P6H7_HUMAN
23650,H0YF27_HUMAN
23650,E9PJD4_HUMAN
23650,E9PRL4_HUMAN
10994,E9PNL1_HUMAN
10994,ILVBL_HUMAN
10994,M0R026_HUMAN
10994,E9PJS0_HUMAN
10994,E9PL44_HUMAN
10994,M0R1B5_HUMAN
10994,M0QZX5_HUMAN
63920,ZBED8_HUMAN
25799,M0R1C8_HUMAN
25799,Q96I98_HUMAN
25799,A0A024R4R8_HUMAN
25799,Z324A_HUMAN
25790,A0A087X182_HUMAN
25790,A0A087WUV1_HUMAN
25790,CFA45_HUMAN
63916,Q5JVZ4_HUMAN
63916,ELMO2_HUMAN
63916,Q5JVZ8_HUMAN
63916,Q5JW01_HUMAN
63916,H0YCM7_HUMAN
63916,Q5JVZ5_HUMAN
25794,FSCN2_HUMAN
63915,A0A0A0MTN6_HUMAN
63915,A0A0D9SEU2_HUMAN
63915,G5E931_HUMAN
63915,BL1S5_HUMAN
25793,F8WDR9_HUMAN
25793,F8WBR0_HUMAN
25793,A2A282_HUMAN
25793,FBX7_HUMAN
25792,Q5SYW2_HUMAN
25792,CIZ1_HUMAN
25792,F6VD24_HUMAN
25792,F6WSM2_HUMAN
25792,A0A0U1RQR2_HUMAN
25792,A0A024R885_HUMAN
25792,H0Y5D5_HUMAN
